N,ShufflingPercent,BubbleSortTime,ShakerSortTime,CombSortTime
10,0,0,0,0
10,20,0,0,0
10,40,0,0,0
10,60,0,0,0
10,80,0,0,0
10,100,0,0,0
100,0,0,0,0
100,20,0,0,0
100,40,0,0,0
100,60,0,0,0
100,80,0,0,0
100,100,0,0,0
1000,0,0,0,0
1000,20,0,0,0
1000,40,0,0,0
1000,60,0,0,0
1000,80,0,0,0
1000,100,0,0,0
10000,0,84,68,0
10000,20,78,67,0
10000,40,77,67,0
10000,60,76,67,0
10000,80,77,68,0
10000,100,77,67,0
100000,0,14392,9600,7
100000,20,14394,9579,7
100000,40,14408,9582,7
100000,60,14419,9607,7
100000,80,14341,9638,7
100000,100,14397,9587,7
